event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type
22316,Mizoram,Champhai,,2.5 km S of Ngopa,23.862638,93.204025,True,,False,2017,year,2017,Debris,Slide
22317,Mizoram,Champhai,,3.8 km S of Ngopa,23.863417,93.201279,True,,False,,none,,Debris,Slide
22318,Mizoram,Aizawl,,Khawkawi section,23.865694,92.932639,True,,False,,none,,Rock,Slide
22319,Mizoram,Champhai,,5 km from Ngopa,23.866138,93.222809,True,,False,,none,,Debris,Slide
22320,Mizoram,Champhai,,2 km S of Ngopa,23.867277,93.205643,True,,False,2017,year,2017,Debris,Slide
22321,Mizoram,Champhai,,Near Ngopa village,23.868279,93.222557,True,,False,,none,,Debris,Slide
22322,Mizoram,Aizawl,,"~1km from Lungdai, on Silchar
Road (Siphir-Serkhan section)",23.868917,92.735472,True,,False,2016,year,2016,Rock,Fall
22323,Mizoram,Aizawl,,Khawruhlian village on NH150,23.869861,92.877444,True,,False,2016,year,2016,Debris,Slide
22324,Mizoram,Mamit,South of Mamit slide,South of Mamit,23.87,92.5,True,,False,2019,year,2019,Rock,Slide
22325,Mizoram,Champhai,,1 km S of Ngopa,23.870445,93.208611,True,,False,2017,year,2017,Debris,Slide
22326,Mizoram,Champhai,,KawlbemVaikhawtlang section,23.870445,93.353859,True,,False,,none,,Debris,Slide
22327,Mizoram,Champhai,,Near Ngopa village,23.870567,93.215149,True,,False,,none,,Debris,Slide
22328,Mizoram,Aizawl,,PhullenPhuaibuang,23.870583,93.095444,True,,False,,none,,Rock,Slide
22329,Mizoram,Aizawl,,Ainawl village,23.87075,93.078529,True,,False,2017,year,2017,Debris,Slide
22330,Mizoram,Aizawl,,near Pehlawn,23.871694,92.919955,True,,False,2016,year,2016,Debris,Slide
22331,Mizoram,Aizawl,,"~5k m from Ainawl along
PhullenPhuaibuang section",23.872055,93.094276,True,,False,,none,,Rock,Slide
22332,Mizoram,Champhai,,KawlbemVaikhawtlang section,23.87211,93.335999,True,,False,,none,,Rock,Slide
22333,Mizoram,Aizawl,,"Khawruhlian village(near
culvert) on NH150",23.872722,92.874083,True,,False,1996,year,1996,Rock,Slide
22334,Mizoram,Champhai,,KawlbemNgopa section,23.874056,93.244469,True,,False,,none,,Rock,Slide
22335,Mizoram,Champhai,,Ngopa village,23.875174,93.21302,True,,False,,none,,Debris,Slide
22336,Mizoram,Champhai,,KawlbemNgopa section,23.876139,93.260445,True,,False,,none,,Debris,Slide
22337,Mizoram,Champhai,,NgopaTeikhang section,23.877806,93.267609,True,,False,2017,year,2017,Rock,Fall
22338,Mizoram,Aizawl,,Near Lengpui-NH 54 junction,23.88,92.69,True,,False,2016,year,2016,Rock,Fall
22339,Mizoram,Mamit,Mamit road slide,"Junction between NH-108
bypass and Mamit road",23.88,92.5,True,,False,2019,year,2019,Rock,Slide
22340,Mizoram,Champhai,,KawlbemNgopa section,23.881056,93.245804,True,,False,,none,,Debris,Slide
22341,Mizoram,Champhai,,KawlbemNgopa section,23.881361,93.257027,True,,False,,none,,Rock,Slide
22342,Mizoram,Champhai,,19 km from ngopa,23.88139,93.243027,True,,False,2017,year,2017,Debris,Slide
22343,Mizoram,Champhai,,KawlbemNgopa section,23.881639,93.234642,True,,False,,none,,Debris,Slide
