event_id,source,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue
380,GSI,Assam,West Karbi Anglong,NE of Pangyatiso-1,"Mikading-Pangyatiso-Ranghidi
road",25.8515,92.69203,True,,False,,none,,Earth cum Rock,Slide,,,,,,False,outside_current_dem_coverage
381,GSI,Assam,West Karbi Anglong,Hamren-2,"SH-18, Hamren road",25.85167,92.58089,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
382,GSI,Assam,Karbi Anglong,Hafjan Kidingpur3,DhansiriChiru Timung road,25.85189,93.56633,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
383,GSI,Assam,Karbi Anglong,Hafjan Kidingpur2,DhansiriChiru Timung road,25.85487,93.56583,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
384,GSI,Assam,Karbi Anglong,Hafjan Kidingpur1,DhansiriChiru Timung road,25.85498,93.56638,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
385,GSI,Assam,West Karbi Anglong,Hamren-4,Hamren,25.85544,92.57369,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
386,GSI,Assam,West Karbi Anglong,SE of Rongsope,Kolonga-Teran-Rongsope road,25.85992,92.72558,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
387,GSI,Assam,West Karbi Anglong,Hamren-3,Hamren,25.864186,92.571047,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
388,GSI,Assam,West Karbi Anglong,Hamren-1,"SH-18, Hamren road",25.86958,92.59411,True,,False,,none,,Rock cum Debris,Slide,,,,,,False,outside_current_dem_coverage
389,GSI,Assam,Karbi Anglong,Dilaiji,DilaijiMon Terang road,25.88494,93.45792,True,,False,,none,,Soil,Slide,,,,,,False,outside_current_dem_coverage
390,GSI,Assam,West Karbi Anglong,SW of Tiriphlang,"SH-19, Donkamokam-Hamren
road",25.88692,92.61347,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
391,GSI,Assam,West Karbi Anglong,Rohang Habal,"SH-19, Donkamokam-Hamren
road",25.90653,92.65819,True,,False,,none,,Debris cum earth,Slide,,,,,,False,outside_current_dem_coverage
392,GSI,Assam,West Karbi Anglong,NE of Linsika,"SH-19, Donkamokam-Hamren
road",25.90692,92.64714,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
393,GSI,Assam,Kamrup (Rural),Rajupara slide,East of Rajupara village,25.91,91.4,True,,False,2017,year,2017,Debris,Slide,,,,,,False,outside_current_dem_coverage
394,GSI,Assam,West Karbi Anglong,Padam Pukhuri,"W of Padam Pukhuri, SH-16",25.945,92.66358,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
395,GSI,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.5,"~1.5 Km West of Umpanai.
Sunani - Umpanai road",25.946611,92.305361,True,,False,2015,year,2015,Debris,Slide,,,,,,False,outside_current_dem_coverage
396,GSI,Assam,Kamrup (Rural),Khaksi Sikrabura slide,Boko-Baghmara road,25.95,91.28,True,,False,2019,year,2019,Debris,Slide,,,,,,False,outside_current_dem_coverage
397,GSI,Assam,West Karbi Anglong,N of Langchar Terongaon,"SH-18, Baithalangso-Tika road",25.95381,92.60444,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
398,GSI,Assam,West Karbi Anglong,N of Langchar Terongaon,"SH-18, Baithalangso-Tika road",25.95386,92.60367,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
399,GSI,Assam,Karbi Anglong,Gautam basti,NH39,25.95514,93.72997,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
400,GSI,Assam,West Karbi Anglong,Power house Amtreng,"Karbi Langpi hydro dam (power
house road)",25.95931,92.51753,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
401,GSI,Assam,West Karbi Anglong,S of Baithalangso,"SH-18, Baithalangso-Tika road",25.96094,92.60122,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
402,GSI,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.4,"~1Km North-West of Ulukunchi.
Sunani - Umpanai road",25.961444,92.341333,True,,False,,none,,Rock cum Debris,Slide,,,,,,False,outside_current_dem_coverage
403,GSI,Assam,Karbi Anglong,Kania Terongaon2,NH36,25.96256,93.46922,True,,False,,none,,Soil cum debris,Slide,,,,,,False,outside_current_dem_coverage
404,GSI,Assam,Karbi Anglong,Kania Terongaon1,NH36,25.96272,93.46964,True,,False,,none,,Soil,Slide,,,,,,False,outside_current_dem_coverage
405,GSI,Assam,West Karbi Anglong,Mt View English LP School,"Chinthong block, Baithalangso",25.965731,92.59267,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
406,GSI,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.3,"~500 meter South of Silaguri,
Sunani - Umpanai road",25.96667,92.356917,True,,False,2016,year,2016,Earth,Slide,,,,,,False,outside_current_dem_coverage
407,GSI,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.2,"~300 meter South of Silaguri,
Sunani - Umpanai road",25.968083,92.3575,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
408,GSI,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.1,"~1.5 Km South of Mortin,
Sunani - Umpanai road",25.977194,92.354778,True,,False,2016,year,2016,Debris,Slide,,,,,,False,outside_current_dem_coverage
409,GSI,Assam,West Karbi Anglong,Amtreng-1,"SH-16, East of Amtreng Market",25.98219,92.51892,True,,False,,none,,Rock,Slide,,,,,,False,outside_current_dem_coverage
410,GSI,Assam,West Karbi Anglong,Amtreng-2,N of Amtreng nala,25.98736,,False,outside_ner_bbox,False,,none,,Earth,Slide,,,,,,False,invalid_coordinate
411,GSI,Assam,Goalpara,Phophonga hill landslide,NH-37/Bolbola village,26.006,90.595,True,,False,,none,,Rock cum debris,Slide,,,,,,False,outside_current_dem_coverage
412,GSI,Assam,West Karbi Anglong,Nellie-Umswai road slide No.6,Nellie - Umpanai-Umswai road,26.012,92.264167,True,,False,2016,year,2016,Debris,Slide,,,,,,False,outside_current_dem_coverage
413,GSI,Assam,West Karbi Anglong,Nellie-Umswai road slide No.5,Nellie - Umpanai-Umswai road,26.013528,92.266083,True,,False,2016,year,2016,Debris,Slide,,,,,,False,outside_current_dem_coverage
414,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.31,"~1.2 Km North-East of
Duronggaon, Amsoi- Amtrang
road",26.016389,92.48225,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
415,GSI,Assam,West Karbi Anglong,Nellie-Umswai road slide No.4,"~500 meter North of Asukunchi,
Nellie - Umpanai-Umswai road",26.022833,92.274028,True,,False,2016,year,2016,Earth,Slide,,,,,,False,outside_current_dem_coverage
416,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.30,"Darongaon, Amsoi- Amtrang
road",26.024167,92.475,True,,False,,none,,Earth,Slide,,,,,,False,outside_current_dem_coverage
417,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.29,"~1.5 Km North of Duronggaon,
Amsoi- Amtrang road",26.030972,92.474139,True,,False,2014,year,2014,Earth,Slide,,,,,,False,outside_current_dem_coverage
418,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.27,Amsoi- Amtrang road,26.031528,92.472778,True,,False,2016,year,2016,Earth,Slide,,,,,,False,outside_current_dem_coverage
419,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.28,"~1.2 Km North of Duronggaon,
Amsoi- Amtrang road",26.031583,92.47375,True,,False,2014,year,2014,Earth,Slide,,,,,,False,outside_current_dem_coverage
420,GSI,Assam,West Karbi Anglong,Nellie-Umswai road slide No.4,Nellie - Umpanai-Umswai road,26.03275,92.271861,True,,False,,none,,Debris,Slide,,,,,,False,outside_current_dem_coverage
421,GSI,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.25,Amsoi- Amtrang road,26.033556,92.468056,True,,False,2014,year,2014,Debris,Slide,,,,,,False,outside_current_dem_coverage
