event_id,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type,elevation,slope,aspect,curvature,terrain_ruggedness,dem_available,dem_issue,landslide
NEG_18457,,,,,25.903850031081262,94.53417849223216,True,,False,2024-05-28,day,,,,1349.0,32.954655421401206,347.0053832080835,-0.002098730803040515,15.25,True,,0
NEG_18458,,,,,27.054125329832257,88.79778691122861,True,,False,2024-05-28,day,,,,1168.0,36.87212272806173,217.98349825527708,0.009444288613682319,17.375,True,,0
NEG_18459,,,,,26.999056069914005,91.12740541765459,True,,False,2016-07-17,day,,,,1091.0,33.96944850483933,244.3589941756947,-0.057715097083614164,20.125,True,,0
NEG_18460,,,,,27.867818760059635,88.30637480205286,True,,False,2025-05-30,day,,,,4804.0,20.387515414445808,11.309932474020215,0.00419746160608103,9.0,True,,0
NEG_18461,,,,,27.952501124008215,88.9552813342888,True,,False,2009-06-29,day,,,,5069.0,4.920347664281264,131.18592516570965,-0.002098730803040515,2.25,True,,0
NEG_18462,,,,,26.568482385923552,88.03375717673566,True,,False,2025-05-30,day,,,,101.0,1.3525545544152653,149.03624346792648,0.002098730803040515,0.625,True,,0
NEG_18463,,,,,27.863966123293952,88.0328716952272,True,,False,2024-05-28,day,,,,5671.0,50.87574195600263,292.25696265944964,-0.052468270076012874,29.375,True,,0
NEG_18464,,,,,27.829592626298673,88.89460001111212,True,,False,2025-06-06,day,,,,5029.0,46.931358702886214,23.65421335091024,-0.007345557810641804,26.125,True,,0
NEG_18465,,,,,26.8183395488845,88.60814248531162,True,,False,2024-05-28,day,,,,129.0,0.9842140238852851,135.0,0.00419746160608103,0.875,True,,0
NEG_18466,,,,,25.186404348180055,94.26314648492678,True,,False,2021-10-19,day,,,,1677.0,25.09596398313749,326.99689930792357,-0.00839492321216206,11.125,True,,0
NEG_18467,,,,,26.879927825113178,91.60174061691208,True,,False,2024-05-28,day,,,,1315.0,30.552202365931098,210.96375653207352,-0.00839492321216206,15.125,True,,0
NEG_18468,,,,,27.858390003427964,88.5504592432596,True,,False,2010-06-16,day,,,,4007.0,32.423775774539365,250.6410058243053,-0.01364175021976335,15.375,True,,0
NEG_18469,,,,,26.342395186726776,88.7009828344186,True,,False,2025-05-30,day,,,,70.0,1.182826340705832,191.30993247402023,0.003148096204560773,1.0,True,,0
