event_id,source,state,district,slide_name,nh_sh_location,latitude,longitude,coord_valid,coord_issue,coord_collision,event_date,date_precision,history_raw,material_involved,movement_type
GLC_6046,GLC,Meghalaya,,National Highway at Kuliang,,25.0728,92.3636,True,,False,2015-08-19,day,rain,,landslide
GLC_6090,GLC,Sikkim,,Rangpo,,27.172,88.5292,True,,False,2016-10-15,day,downpour,,landslide
GLC_6157,GLC,Mizoram,,"Aizawl, Mizoram, India",,23.7313,92.7187,True,,False,2015-09-14,day,downpour,,landslide
GLC_6225,GLC,Manipur,,Tamei constituency in Tamenlong district,,25.1604,93.6795,True,,False,2012-03-04,day,unknown,,landslide
GLC_6244,GLC,Sikkim,,"Ranka, Sikkim and Louing road",,27.337,88.609,True,,False,2008-08-28,day,downpour,,landslide
GLC_6277,GLC,Sikkim,,"Nam Nang, Gangtok",,27.322,88.6087,True,,False,2010-04-17,day,downpour,,landslide
GLC_6286,GLC,Arunachal Pradesh,,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ",,28.4298,95.8776,True,,False,2010-05-31,day,downpour,,landslide
GLC_6290,GLC,Assam,,"Bilaipur, Hailakandi district, Assam, India",,24.5204,92.7264,True,,False,2016-05-18,day,continuous_rain,,landslide
GLC_6295,GLC,Arunachal Pradesh,,"Old Inspection Bungalow, Bhalukpong town, West Kameng, Arunachal Pradesh, India",,27.0136,92.6351,True,,False,2016-07-01,day,downpour,,landslide
GLC_6328,GLC,Arunachal Pradesh,,"Itanagar-Naharlagun, Arunachal Pradesh",,27.0998,93.6287,True,,False,2008-06-14,day,rain,,landslide
GLC_6339,GLC,Assam,,"Sarania Hills, North Guwahati, Guwahati, Assam,",,26.1771,91.7599,True,,False,2013-05-11,day,rain,,landslide
GLC_6357,GLC,Arunachal Pradesh,,"Khonsa, Arunachal Pradesh",,26.9986,95.4993,True,,False,2012-06-25,day,downpour,,landslide
GLC_6360,GLC,Assam,,"Chumukedima, Dimapur",,25.7713,93.8067,True,,False,2011-08-13,day,downpour,,mudslide
GLC_6396,GLC,Arunachal Pradesh,,"Polo River At Polosang, Arunachal Pradesh",,27.8837,93.0515,True,,False,2013-08-01,day,rain,,mudslide
GLC_6401,GLC,Sikkim,,200 meters from Teesta Bridge towards Siliguri,,27.05374234,88.42572376,True,,False,2011-07-19,day,rain,,landslide
GLC_6439,GLC,Manipur,,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",,24.8063,93.9482,True,,False,2011-07-06,day,downpour,,landslide
GLC_6462,GLC,Mizoram,,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",,22.7176,92.8416,True,,False,2010-09-13,day,downpour,,landslide
GLC_6463,GLC,Arunachal Pradesh,,"Upper Subansiri District, Arunanchal Pradesh",,27.7,92.8,True,,False,2009-08-12,day,downpour,,landslide
GLC_6471,GLC,Manipur,,Yangkhullen-Tamphung road till Nagaland border,,25.5098,93.8794,True,,False,2015-07-22,day,continuous_rain,,landslide
GLC_6488,GLC,Manipur,,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",,24.8628,94.4182,True,,False,2009-08-30,day,downpour,,landslide
GLC_6523,GLC,Assam,,"Highway 53 at Tupul, Tamenglong district",,24.9786,93.5027,True,,False,2010-07-29,day,downpour,,landslide
GLC_6536,GLC,Assam,,Shillong Road at Kuliang in the Jaintia Hills,,25.2946,92.8339,True,,False,2007-08-26,day,rain,,landslide
GLC_6579,GLC,Assam,,Lalunggaon near Gorchuk area,,26.1226,91.7162,True,,False,2012-06-22,day,downpour,,landslide
GLC_6580,GLC,Meghalaya,,"Shillong, Meghalaya, India",,25.583,91.893,True,,False,2015-09-23,day,downpour,,landslide
GLC_6618,GLC,Assam,,Rongpur village under Bhairabhnagar panchayat in Karimganj district,,24.6005,92.3814,True,,False,2010-06-03,day,downpour,,landslide
GLC_6667,GLC,Arunachal Pradesh,,"Tawang, Arunachal Pradesh",,27.5799,91.8569,True,,False,2016-04-22,day,continuous_rain,,landslide
GLC_6704,GLC,Arunachal Pradesh,,Babrang village under Jang circle in Tawang district,,27.5754,91.9754,True,,False,2016-08-05,day,downpour,,landslide
GLC_6711,GLC,Arunachal Pradesh,,East Kameng district in Arunachal Pradesh bordering China,,27.44,92.2833,True,,False,2011-08-12,day,rain,,landslide
GLC_6740,GLC,Nagaland,,"Longsa, Nagaland",,26.2083,94.5438,True,,False,2013-08-04,day,monsoon,,landslide
GLC_6760,GLC,Manipur,,"near Kuloor church, in Manipur along National Highway",,24.6596,93.9784,True,,False,2008-06-09,day,monsoon,,landslide
GLC_6776,GLC,Nagaland,,"Chiechama, Nagaland",,25.8266,94.1497,True,,False,2013-10-05,day,continuous_rain,,mudslide
GLC_6851,GLC,Assam,,"Pub Sarania hill, South Sarania, Guwahati, Assam, India",,26.1768,91.7702,True,,False,2016-07-14,day,monsoon,,landslide
GLC_6861,GLC,Arunachal Pradesh,,"Koloriang, Kuring Kumey district, Arunachal Pradesh",,27.8997,93.3497,True,,False,2010-04-02,day,downpour,,mudslide
GLC_6869,GLC,Sikkim,,"NH-10, Sepi Jhora, Kalimpong",,27.0816,88.4397,True,,False,2015-07-07,day,continuous_rain,,landslide
GLC_6962,GLC,Mizoram,,"Laipuitland , Aizawl, Mizoram",,23.7281,92.7175,True,,False,2013-05-11,day,rain,,landslide
GLC_6979,GLC,Manipur,,"amei to Kangpokpi via Imphal road, 0.5 km from Tamei, Tamenglang District",,25.16,93.686,True,,False,2015-06-19,day,monsoon,,landslide
GLC_7011,GLC,Meghalaya,,"National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya",,25.3433,92.2897,True,,False,2010-05-11,day,downpour,,landslide
